2025-10-04T00:26:39.283722 | ALERT for hestll | @propaganda_bot | score=7
2025-10-04T00:26:39.283732 | ALERT for hestll | @anon123 | score=4
2025-10-04T00:26:39.283735 | ALERT for hestll | @bot42 | score=3
2025-10-04T00:26:39.283737 | ALERT for hestll | @phishy | score=5
2025-10-04T00:47:10.739794 | ALERT for hestll | @propaganda_bot | score=7
2025-10-04T00:47:10.739807 | ALERT for hestll | @anon123 | score=4
2025-10-04T00:47:10.739810 | ALERT for hestll | @bot42 | score=3
2025-10-04T00:47:10.739812 | ALERT for hestll | @phishy | score=5
2025-10-04T00:47:10.739814 | ALERT for hestll | @propaganda_bot | score=7
2025-10-04T00:47:10.739816 | ALERT for hestll | @anon123 | score=4
2025-10-04T00:47:10.739818 | ALERT for hestll | @bot42 | score=3
2025-10-04T00:47:10.739819 | ALERT for hestll | @phishy | score=5
2025-10-04T02:19:01.980240 | ALERT for hestll | @propaganda_bot | score=7
2025-10-04T02:19:01.980257 | ALERT for hestll | @anon123 | score=4
2025-10-04T02:19:01.980265 | ALERT for hestll | @bot42 | score=3
2025-10-04T02:19:01.980269 | ALERT for hestll | @phishy | score=5
2025-10-04T02:19:01.980271 | ALERT for hestll | @propaganda_bot | score=7
2025-10-04T02:19:01.980274 | ALERT for hestll | @anon123 | score=4
2025-10-04T02:19:01.980276 | ALERT for hestll | @bot42 | score=3
2025-10-04T02:19:01.980279 | ALERT for hestll | @phishy | score=5
2025-10-04T02:22:37.209280 | ALERT for hestll | @propaganda_bot | score=7
2025-10-04T02:22:37.209299 | ALERT for hestll | @anon123 | score=4
2025-10-04T02:22:37.209304 | ALERT for hestll | @bot42 | score=3
2025-10-04T02:22:37.209307 | ALERT for hestll | @phishy | score=5
2025-10-04T02:22:37.209310 | ALERT for hestll | @propaganda_bot | score=7
2025-10-04T02:22:37.209313 | ALERT for hestll | @anon123 | score=4
2025-10-04T02:22:37.209316 | ALERT for hestll | @bot42 | score=3
2025-10-04T02:22:37.209318 | ALERT for hestll | @phishy | score=5
2025-10-04T02:22:37.209321 | ALERT for unknown | @hestll | score=5
2025-10-04T02:22:37.209324 | ALERT for unknown | @hestll | score=3
2025-10-04T02:22:37.209326 | ALERT for unknown | @hestll | score=5
2025-10-04T02:22:37.209329 | ALERT for unknown | @hestll | score=5
2025-10-04T02:22:37.209331 | ALERT for unknown | @hestll | score=3
2025-10-04T02:22:37.209334 | ALERT for unknown | @hestll | score=5
2025-10-04T02:22:37.209336 | ALERT for hestll | @propaganda_bot | score=5
2025-10-04T02:22:37.209339 | ALERT for hestll | @bot42 | score=3
2025-10-04T02:22:37.209342 | ALERT for hestll | @phishy | score=5
2025-10-04T02:27:31.349811 | ALERT for hestll | @testuser | score=5
2025-10-04T02:27:31.349831 | ALERT for hestll | @test | score=7
2025-10-04T02:30:57.161174 | ALERT for hestll | @test | score=7
2025-10-04T02:35:03.854134 | ALERT for test2 | @test | score=5
2025-10-07T14:25:41.804891 | ALERT for hestll | @ahahaha | score=4
